Provincia,Comune
VI,Agna
VI,Albano Terme
VI,Altissimo
VI,Arcugnano
VI,Arsiero
VI,Asiago
VI,Asigliano Veneto
VI,Aureliano
VI,Bassano del Grappa
VI,Battipaglia
VI,Belfiore
VI,Belvicino Vicentino
VI,Bertesina
VI,Breganze
VI,Brendola
VI,Breganze
VI,Brogliano
VI,Bronte
VI,Caldogno
VI,Caltrano
VI,Calvene
VI,Camisano Vicentino
VI,Campiglia dei Berici
VI,Campolongo Maggiore
VI,Caprino Veronese
VI,Carrè
VI,Castelgomberto
VI,Castelnuovo d'Elisèo
VI,Castrupello
VI,Cavernago
VI,Chiampo
VI,Chiesanuova
VI,Cimone
VI,Costabissara
VI,Creazzo
VI,Crespadoro
VI,Crocetta del Montello
VI,Fara Vicentina
VI,Fimonta
VI,Foscarino
VI,Gallio
VI,Gambellara
VI,Gargazzone
VI,Gavardo
VI,Gazzola
VI,Giaveno
VI,Grumolo delle Abbadesse
VI,Illasi
VI,Isola Vicentina
VI,Lastebasse
VI,Lavagno
VI,Leonesio
VI,Lonigo
VI,Lugo di Vicenza
VI,Malo
VI,Marano Vicentino
VI,Marostica
VI,Massanzago
VI,Montebello Vicentino
VI,Montecchio Maggiore
VI,Monteviale
VI,Monticello Conte Otto
VI,Montorso Vicentino
VI,Mossano
VI,Mussolente
VI,Nanto
VI,Negredo Vicentino
VI,Nove
VI,Noventa Vicentina
VI,Orsago
VI,Parco Scolaro
VI,Pasubio
VI,Pedemonte
VI,Persico Vicentino
VI,Pianezze
VI,Piovene Rocchette
VI,Poiana Maggiore
VI,Ponte San Nicolò
VI,Porto Vicentino
VI,Posina
VI,Pozzole di Vicenza
VI,Pramaggiore
VI,Prata di Pordenone
VI,Quinto Vicentino
VI,Recoaro Terme
VI,Riese Pio X
VI,Roncaglia
VI,Rosà
VI,Rovigo di Valsolda
VI,Rovereto Vicentino
VI,Salcedo
VI,San Bonifacio
VI,San Brottolo
VI,San Giovanni in Marignano
VI,San Martino Buon Albergo
VI,San Pietro in Campo
VI,San Vito di Leguzzano
VI,Sarego
VI,Scelzo
VI,Scurelle
VI,Seele
VI,Selvazzano Dentro
VI,Sesso del Manzo
VI,Soave
VI,Sorgà
VI,Sossano
VI,Staro
VI,Tezze sul Brenta
VI,Thiene
VI,Tonezza del Cimone
VI,Torreglia
VI,Torrebelvicino
VI,Trecenta
VI,Valdagno
VI,Valgreganzeno
VI,Valli del Pasubio
VI,Valstagna
VI,Velo d'Astico
VI,Vicenza
VI,Villaga
VI,Villaverla
VI,Vincenza
VI,Vittorio Veneto
VI,Zevio
PD,Abano Terme
PD,Agna
PD,Albignasego
PD,Anguillara Veneta
PD,Arquà Petrarca
PD,Arre
PD,Asiago
PD,Asolo
PD,Baone
PD,Barbona
PD,Battaglia Terme
PD,Bovolenta
PD,Cadoneghe
PD,Campodarsego
PD,Carmignano di Brenta
PD,Casale di Scodosia
PD,Castelbaldo
PD,Cervarese Santa Croce
PD,Cinto Euganeo
PD,Cittadella
PD,Codevigo
PD,Conselve
PD,Curtarolo
PD,Este
PD,Fontaniva
PD,Galzignano Terme
PD,Gazzo
PD,Grantorto
PD,Granze
PD,Limena
PD,Lozzo Atestino
PD,Lugo di Vicenza
PD,Maserà di Padova
PD,M
